name_english,name_native,description,origin_country,origin_region,development_year,parentage,also_known_as,plant_type,optimal_environment,geographic_distribution,tea_expressions,sensory_footprint,processing_suitability_details,oxidation_details,roasting_details,style_versatility
Ba Xian,八仙,"'Eight Immortals'. A powerful clonal Dan Cong cultivar derived from the legendary Song Zhong mother tree. It is known for its strong, assertive, and sometimes aggressive fragrance, which combines intense orchid notes with a distinct almond character. It is a connoisseur's tea, valued for its potent 'cha qi' and robust flavor profile.",China,"Phoenix Mountains (Guangdong)",1990,"Cloned from eight cuttings of a Song Zhong mother tree.","Eight Immortals Dan Cong","Vigorous arbor with dark green, shiny leaves (Camellia sinensis var. sinensis).","Grows in the high-altitude, mineral-rich terroir of the Phoenix Mountains, which provides the foundation for its strong character.","{""china"": [""Guangdong Province (Phoenix Mountains)""]}","{""Dan Cong Oolong"": {""Ba Xian Dan Cong"": ""Its sole expression is a powerful and aromatic rock oolong, crafted to highlight its potent fragrance and flavor.""}}","{""aroma"": ""Intense Orchid, Almond, Mineral, sometimes a hint of spice"", ""flavor"": ""Strong, assertive, with a clear almond note and a powerful, lingering sweetness and bitterness."", ""mouthfeel_liquor"": ""Full-bodied and powerful with a noticeable energetic sensation ('cha qi'). The liquor is a deep golden-amber.""}","The processing of Ba Xian must handle its powerful nature. It requires skillful bruising and oxidation to develop its complex aromatics without letting its inherent bitterness become overwhelming.","Undergoes a medium to heavy oxidation (40-60%) to build a robust flavor base that can support its strong aromatic profile.","Receives a medium charcoal roast to balance its strong character, smooth out its texture, and integrate its potent flavors.","Highly specialized. Ba Xian is a singular, powerful expression of the Dan Cong oolong style and is not used for other types of tea."
Long Jing #43,龙井43号,"'Long Jing No. 43'. The most widespread and commercially important modern cultivar for producing West Lake Long Jing tea. It was developed for its high yield, beautiful appearance, and early budding time, allowing for the prized pre-Qingming harvest. It produces the classic, beloved nutty and sweet soybean flavor of Long Jing.",China,"Hangzhou (Zhejiang)",1970,"Selected and cloned from the native Long Jing Qunti Zhong population.","Dragon Well #43","Compact, early-sprouting bush with high productivity (Camellia sinensis var. sinensis).","Thrives in the temperate climate and sandy loam soil of the hills surrounding Hangzhou's West Lake, though it is highly adaptable and grown elsewhere.","{""china"": [""Zhejiang Province (Hangzhou - its home)"", ""Other green tea regions across China""]}","{""Green Tea"": {""West Lake Long Jing"": ""This is its premier expression. The leaves are pan-fired in a wok to halt oxidation and create their signature flat shape and toasted flavor.""}, ""Other Green Teas"": {""Various pan-fired styles"": ""Its reliability makes it a choice for producing other flat-style green teas outside of Hangzhou.""}}","{""aroma"": ""Toasted Chestnut, Sweet Soybean, Fresh Grass"", ""flavor"": ""Nutty, mellow, savory (umami), and subtly sweet with no bitterness."", ""mouthfeel_liquor"": ""Smooth, mellow, and soft with a clean, refreshing finish. The liquor is a bright, clear yellow-green.""}","Processing is defined by the pan-firing ('chao qing') step. The tender leaves are skillfully pressed against the hot surface of a wok to stop oxidation, dry the leaves, and shape them into their iconic flat form.","Zero oxidation. As a green tea, the leaves are heated (in this case, pan-fired) almost immediately after harvesting to deactivate the enzymes responsible for oxidation.","No roasting. The 'roasty' notes in Long Jing come directly from the pan-firing process itself, not from a separate roasting step.","Specialized for pan-fired green tea. Its entire set of desirable traits—early budding, tender leaves, beautiful shape—is geared towards producing high-quality Long Jing."
Long Jing Qunti Zhong,龙井群体种,"'Long Jing Population'. This is not a single clonal cultivar but the original, genetically diverse, seed-propagated heirloom population of Long Jing tea plants. Connoisseurs often prefer it to the modern #43 clone, believing it to have a deeper, more complex, and nuanced flavor profile, though its appearance is less uniform and it buds later.",China,"Hangzhou (Zhejiang)",0,"The original, native heirloom population of the West Lake region.","Old Long Jing, Traditional Dragon Well","Variable, seed-propagated bushes with diverse growth habits (Camellia sinensis var. sinensis).","Grows in the core, traditional production areas around West Lake in Hangzhou. It is perfectly adapted to this specific terroir over centuries of growth.","{""china"": [""Zhejiang Province (Hangou - core West Lake scenic area)""]}","{""Green Tea"": {""West Lake Long Jing (Heirloom)"": ""The most traditional and complex expression of Long Jing. It is pan-fired in the same way as #43, but its genetic diversity yields a multi-layered flavor.""}}","{""aroma"": ""Deeper and more complex than #43, with floral and fruity notes mixed in with the classic chestnut and soybean"", ""flavor"": ""Multi-layered, nuanced, rich, with a longer and more complex aftertaste (huigan)."", ""mouthfeel_liquor"": ""Often thicker and fuller-bodied than #43, with a very smooth and satisfying texture. The liquor is a rich yellow-green.""}","The processing is identical to Long Jing #43 (pan-firing), but the skill of the tea master is even more crucial due to the variability in leaf size and moisture content from the genetically diverse bushes.","Zero oxidation. Like all Long Jing, it is a green tea where oxidation is halted immediately by pan-firing.","No roasting. The complex toasted notes are a direct result of the skillful pan-firing process.","Specialized for pan-fired green tea. It represents the historical and most complex expression of the Long Jing style."
Anji Bai Cha,安吉白茶,"'Anji White Tea'. A unique and fascinating cultivar that, despite its name, is processed as a green tea. In the low temperatures of early spring, its leaves have an albino-like appearance due to a lack of chlorophyll. This results in an exceptionally high concentration of amino acids, producing a tea with a powerful, savory 'umami' flavor unlike any other green tea.",China,"Anji (Zhejiang)",1982,"A rare, natural mutation discovered in the wild and then propagated.","Anji White Leaf","Delicate, temperature-sensitive bush (Camellia sinensis var. sinensis).","Requires a specific microclimate with a cool spring to trigger its albino phase. It thrives in the bamboo-rich terroir of Anji County.","{""china"": [""Zhejiang Province (Anji County)"", ""Sichuan Province (where it is also cultivated)""]}","{""Green Tea"": {""Anji Bai Cha"": ""Its sole expression is a minimally processed green tea, designed to preserve its high amino acid content and unique umami flavor. The leaves are typically long and needle-like.""}}","{""aroma"": ""Steamed Asparagus, nuts, a subtle sweet floral note"", ""flavor"": ""Powerful, savory Umami, reminiscent of chicken broth, with a very sweet and clean finish."", ""mouthfeel_liquor"": ""Light-bodied but intensely flavorful and savory, with a smooth, vibrant texture. The liquor is a very pale, almost clear jade color.""}","Processing must be extremely gentle to protect the delicate, amino-acid-rich leaves. The goal is to do as little as possible to let the unique character of the raw material shine through.","Zero oxidation. The leaves are lightly steamed or pan-fired at a low temperature to halt oxidation while preserving their delicate structure and chemical composition.","No roasting. The tea is simply dried at a low temperature after the kill-green step. Any roasting would destroy its unique, savory flavor.","Extremely specialized. This cultivar is cultivated for one purpose only: to create the unique, umami-rich green tea known as Anji Bai Cha."
Bi Luo Chun Qunti,碧螺春群体,"'Bi Luo Chun Population'. The local, small-leaf heirloom population from the Dongting mountains, used to create the famous Bi Luo Chun green tea. It is known for its intense, forward fruitiness and exquisitely delicate, downy leaves. Traditionally, it is grown intermingled with fruit trees, which are said to contribute to its unique aroma.",China,"Dongting, Jiangsu",0,"The native, seed-propagated heirloom population of the Dongting mountains.","Green Snail Spring, Dongting Bi Luo Chun","Small, sprawling, seed-propagated bushes (Camellia sinensis var. sinensis).","Thrives in the unique microclimate of the Dongting peninsula in Lake Tai, often inter-cropped with fruit trees like peach, apricot, and plum.","{""china"": [""Jiangsu Province (Dongting Peninsula)""]}","{""Green Tea"": {""Bi Luo Chun"": ""A famous green tea made from the tiniest, most tender buds, which are pan-fired and hand-rolled into their characteristic tight, spiral snail-like shape.""}}","{""aroma"": ""Intense stone fruit (apricot, peach), floral notes, and a strong fruity sweetness"", ""flavor"": ""Strongly fruity, sweet, and vegetal with a powerful, refreshing aftertaste."", ""mouthfeel_liquor"": ""Full-bodied for a green tea, with a brisk and vibrant texture. The liquor is a bright yellow-green.""}","The processing is incredibly laborious. Only the most tender buds are picked, then they are pan-fired in small batches and simultaneously rolled by hand into tight spirals. The fine down on the buds is a key feature of the finished tea.","Zero oxidation. The tiny, delicate buds are pan-fired immediately after picking to preserve their fresh, fruity character.","No roasting. The toasty notes come from the pan-firing process.","Highly specialized. This heirloom population is intrinsically linked to the specific crafting method of Bi Luo Chun green tea."
Huangshan Qunti Zhong,黄山群体种,"'Huangshan Population'. The native, seed-grown heirloom population from the misty peaks of Huangshan (Yellow Mountain). This cultivar is used to produce the famous Huangshan Maofeng green tea, which is celebrated for its fresh, sweet, and subtly floral character, reminiscent of magnolia or orchids.",China,"Huangshan, Anhui",0,"The native, seed-propagated heirloom population of the Huangshan scenic area.","Yellow Mountain Fur Peak","Variable, seed-propagated bushes adapted to high-altitude growth (Camellia sinensis var. sinensis).","Grows at high altitudes (700-800m) on the fog-shrouded slopes of Huangshan, where the cool temperatures and misty conditions promote a slow accumulation of flavor.","{""china"": [""Anhui Province (Huangshan / Yellow Mountain)""]}","{""Green Tea"": {""Huangshan Maofeng"": ""Its sole expression. A beautiful green tea consisting of a bud and one or two leaves, lightly pan-fired and baked to preserve its fresh, elegant, and floral nature.""}}","{""aroma"": ""Fresh, clean, with subtle floral notes of Magnolia and Orchid"", ""flavor"": ""Naturally sweet, light, and refreshing with notes of steamed vegetables and a clean, floral aftertaste."", ""mouthfeel_liquor"": ""Light, crisp, and smooth with a very pleasant and refreshing texture. The liquor is a very clear, pale green-yellow.""}","The processing of Huangshan Maofeng is gentle, aiming to preserve the natural shape and aroma of the leaves. It involves a light pan-firing followed by a slow baking process.","Zero oxidation. The leaves are quickly heated after picking to halt all enzymatic activity.","Undergoes a light baking process at low temperatures for its final drying. This is different from a 'roast' and is designed to gently remove moisture while enhancing the tea's floral aroma.","Specialized for the Huangshan Maofeng style of green tea. Its identity is tied to its terroir and this specific processing method."
Shi Da Cha,柿大茶,"'Persimmon Big Tea'. A truly unique cultivar, notable for its gigantic leaves, which are used exclusively to craft one of China's most visually stunning green teas: Tai Ping Hou Kui. The finished tea consists of massive, flat, pressed leaves that yield a surprisingly mellow, vegetal, and powerfully aromatic tea.",China,"Taiping, Anhui",1901,"A unique large-leaf cultivar local to Taiping county.","Persimmon Big Tea","Large, robust bush with very large leaf nodes (Camellia sinensis var. sinensis).","Grows in the fertile soil of the foothills of Huangshan in Taiping county, where the climate is mild and humid.","{""china"": [""Anhui Province (Taiping County, now Huangshan District)""]}","{""Green Tea"": {""Tai Ping Hou Kui (Monkey King)"": ""Its only expression. The massive leaves are pan-fired, meticulously straightened, and pressed between screens to create their unique, flat, grid-patterned appearance.""}}","{""aroma"": ""Powerful, lingering Orchid aroma, fresh, clean, and slightly vegetal"", ""flavor"": ""Mellow, sweet, and vegetal with a very long and lasting floral aftertaste. No bitterness."", ""mouthfeel_liquor"": ""Smooth, thick, and soupy with a very satisfying and full texture. The liquor is a clear, bright green-yellow.""}","The processing is extremely difficult and requires great skill. After pan-firing, each individual leaf is carefully hand-straightened and pressed between cloth screens to create its distinctive shape. This is done for each leaf one-by-one.","Zero oxidation. It is a green tea, and oxidation is halted by pan-firing at the beginning of the process.","No roasting. The final tea is slowly baked at a low temperature to ensure it is completely dry without altering its fresh, floral flavor.","Completely specialized. This cultivar exists for the sole purpose of creating the visually unique and aromatically potent Tai Ping Hou Kui."
Da Ye Zhong,大叶种,"'Big Leaf Variety'. This is not a single cultivar, but the broad-leaf botanical varietal, Camellia sinensis var. assamica, native to Yunnan. It is the genetic mother of all Yunnan tea and is known for its robustness, powerful flavor, and suitability for fermentation and aging. It is the raw material for both Pu'er and Dian Hong black tea.",China,"Yunnan",0,"The native, ancient tea varietal of Yunnan Province.","Yunnan Big Leaf","Can grow into a large, ancient tree (gushu) or be cultivated as a bush (Camellia sinensis var. assamica).","Thrives in the subtropical, mountainous, and biodiverse environment of Yunnan Province, with many distinct regional terroirs (e.g., Yiwu, Bulang, Lincang).","{""china"": [""Yunnan Province (all tea regions)"", ""Also found in neighboring Myanmar, Laos, Vietnam, and Thailand""]}","{""Pu'er Tea"": {""Sheng (Raw) Pu'er"": ""Sun-dried green tea pressed into cakes for aging. Young, it's floral and astringent; aged, it's deep, woody, and complex."", ""Shu (Ripe) Pu'er"": ""Artificially fermented to mimic aging, resulting in a dark, earthy, and smooth tea.""}, ""Black Tea"": {""Dian Hong"": ""A fully oxidized black tea known for its malty, sweet potato, and chocolate notes, often with beautiful golden tips.""}}","{""aroma"": ""Highly variable: floral, fruity, hay (Sheng Pu'er); earthy, loamy, dark chocolate (Shu Pu'er); malty, cacao, sweet potato (Dian Hong)"", ""flavor"": ""Robust, complex, often with a pleasant bitterness that transforms into sweetness (huigan)."", ""mouthfeel_liquor"": ""Generally thick, full-bodied, and powerful. The liquor can be pale gold (young Sheng) to opaque black (Shu).""}","This varietal's large, robust leaves are rich in polyphenols, making them ideal for the microbial fermentation of Pu'er tea and for creating complex, malty black teas. They can withstand significant processing.","Oxidation varies dramatically by style. Sheng Pu'er is essentially an unoxidized (0%) sun-dried green tea. Dian Hong and Shu Pu'er are fully oxidized (100%).","Roasting is generally not a feature. Sheng Pu'er is sun-dried. Dian Hong is dried with hot air. Shu Pu'er is dried after its fermentation pile is complete.","Extremely versatile. As a foundational varietal, it is the basis for Yunnan's most famous and diverse tea styles, from green (Pu'er) to black (Dian Hong)."
Zi Juan,紫娟,"'Purple Juan'. A modern Yunnan cultivar developed from a rare, natural purple-leaf mutation of the Da Ye varietal. It is visually striking, with deep purple leaves, buds, and stems. This coloration comes from a very high concentration of anthocyanins, which gives the tea a unique, slightly bitter, and medicinal flavor profile.",China,"Yunnan",1990,"Developed from a natural purple-leaf mutation of Camellia sinensis var. assamica.","Purple Beauty","Upright bush with striking purple coloration on all new growth (Camellia sinensis var. assamica).","Grown in the tea research gardens and various farms throughout Yunnan. It requires good sunlight to develop its deep purple color.","{""china"": [""Yunnan Province""]}","{""Green Tea / Sheng Pu'er"": {""Purple Sheng"": ""The most common expression. It is processed like a Sheng Pu'er, resulting in a tea that is visually unique and has a distinct berry-like, bitter flavor.""}, ""Black Tea"": {""Purple Black Tea"": ""Creates a black tea with a unique purplish hue and a flavor that is less malty and more fruity/herbal.""}}","{""aroma"": ""Berry-like, herbal, slightly medicinal"", ""flavor"": ""Notably bitter with a unique fruity astringency and a quick, sweet aftertaste."", ""mouthfeel_liquor"": ""Brisk and thin-to-medium-bodied. The liquor has a beautiful purplish-green or purplish-red hue.""}"","Processing is usually done in the style of Sheng Pu'er (sun-dried green tea) to preserve its unique chemical compounds and color. The high anthocyanin content can make it more prone to bitterness if not handled carefully.","Typically unoxidized (0%) when made in the Sheng Pu'er style.","Sun-dried, like traditional Sheng Pu'er, to preserve its character.","Moderately versatile. It can be made into several styles of tea (green, black, white), but each will be dominated by the unique characteristics of its purple-leaf chemistry."
Qi Men Zhong,祁门种,"'Qimen Species'. This is the local, genetically diverse heirloom population used to create all authentic Keemun black tea. It is not a single clone, but a group of small-leaf cultivars that, when subjected to the specific Keemun processing method, produce a world-famous, exceptionally complex aroma often compared to wine, roses, and pine.",China,"Qimen (Anhui)",1875,"The native, local heirloom population of Qimen County.","Keemun","Small-leaf, seed-propagated bushes with variable growth habits (Camellia sinensis var. sinensis).","Thrives in the mild, humid, and often foggy climate of Qimen County in southern Anhui, where the soil is rich and acidic.","{""china"": [""Anhui Province (Qimen County)""]}","{""Black Tea"": {""Keemun (Qimen Hongcha)"": ""Its only expression. A world-renowned black tea, famous for its 'Keemun fragrance'. Grades range from the leafy 'Congou' to the prized, tippy 'Mao Feng' and the rare 'Hao Ya'.""}}","{""aroma"": ""Complex notes of red wine, rose, pine, dried plum, and a hint of orchid"", ""flavor"": ""Smooth, mellow, and slightly smoky with a delicate sweetness and very little astringency."", ""mouthfeel_liquor"": ""Smooth, medium-bodied, and silky with a long, aromatic finish. The liquor is a brilliant, clear red.""}","The key to Keemun's unique aroma is a slow, carefully controlled withering and oxidation process. This specific technique, applied to this specific group of cultivars, is what creates the magic.","Undergoes full and meticulous oxidation (100%). The duration and humidity are carefully monitored to develop the tea's signature complex floral and fruity notes without introducing sourness.","No roasting. The tea is dried with hot air in a multi-stage process that stabilizes the flavor and aroma.","Completely specialized. The Qi Men Zhong population is famous for one thing only: producing the singular and inimitable Keemun black tea."
Qing Xin,青心,"'Green Heart'. The undisputed king of Taiwanese oolongs, Qing Xin is celebrated for its ability to perfectly express the terroir of high-altitude tea gardens. It produces an oolong with an ethereal, elegant, and complex floral aroma, a remarkably thick, creamy mouthfeel, and a lingering sweet aftertaste. It is the benchmark for quality in Taiwan.",Taiwan,"High Mountains (Lishan, Alishan)",1885,"Brought from Fujian, China; selected from native Chinese heirloom population.","Green Heart, Ruan Zhi (Soft Stem)","Relatively small, delicate bush that requires careful cultivation (Camellia sinensis var. sinensis).","Requires a high-altitude (1,000-2,600m) environment with cool temperatures, persistent mist, and a large diurnal temperature range to develop its prized character.","{""taiwan"": [""Lishan"", ""Alishan"", ""Shan Lin Xi"", ""Dayuling""], ""thailand"": [""Doi Mae Salong""], ""vietnam"": [""Northern regions""]}","{""High Mountain Oolong (Gao Shan Cha)"": {""Lishan/Alishan/Shan Lin Xi Oolong"": ""Its highest expression. A lightly oxidized, unroasted, ball-shaped oolong with a thick, creamy body and incredibly elegant floral notes.""}, ""Baozhong Oolong"": {""Wenshan Baozhong"": ""A lightly oxidized, twisted-leaf oolong from lower elevations that showcases a fresh, green, floral profile.""}}","{""aroma"": ""Ethereal Lilac, Gardenia, Cream, fresh mountain air"", ""flavor"": ""Exceptionally smooth, buttery, and sweet with a clean, vegetal undertone."", ""mouthfeel_liquor"": ""Thick, soupy, and viscous with absolutely no astringency. The liquor is a very pale, clear golden-green.""}","Processing must be incredibly gentle to protect this delicate cultivar. The entire process for high mountain oolong is designed to showcase the pristine quality of the raw leaf, with minimal intervention.","Undergoes very light oxidation (15-25%). The withering is slow and done at cool temperatures to gently develop the complex, elegant floral aromatics without losing freshness.","Almost always unroasted. The final step is a very low-temperature bake to dry the tea completely. Any significant roast would destroy the delicate high-mountain character.","Highly versatile for oolong. It is the gold standard for high-end light oolongs (both ball-rolled and twisted) but lacks the robustness for heavy roasting or black tea production."
