name_english,name_native,description,origin_country,origin_region,development_year,parentage,also_known_as,plant_type,optimal_environment,geographic_distribution,tea_expressions,sensory_footprint,processing_suitability_details,oxidation_details,roasting_details,style_versatility
Bi Luo Chun Qunti,碧螺春群体,"'Bi Luo Chun Population'. The original, small-leaf heirloom population from the Dongting mountains, famous for producing one of China's top ten green teas. The bushes are traditionally interplanted with fruit trees (like apricot, plum, and loquat), and the tea is said to absorb their fragrance. The finished tea consists of tiny, downy buds that are hand-rolled into a distinctive spiral shape.",China,"Dongting, Jiangsu",0,"The native, seed-propagated heirloom population of the Dongting mountains.","Dongting Bi Luo Chun","Small, sprawling bushes with a less upright habit (Camellia sinensis var. sinensis).","Grows in the unique microclimate of the Dongting peninsula on Lake Tai, where the lake effect moderates temperatures and the soil is ideal. Intercropping with fruit trees is key to the traditional terroir.","{""china"": [""Jiangsu Province (Suzhou - Dongting East and West mountains)""]}","{""Green Tea"": {""Dongting Bi Luo Chun"": ""A very early spring green tea made from tiny, tender, and extremely downy buds. It is pan-fired and hand-rolled into tight spirals.""}}","{""aroma"": ""Intensely fruity and floral, savory, with a distinct 'xia sha xiang' (frighteningly intense aroma)"", ""flavor"": ""Strong umami, sweet, with complex fruity and vegetal notes and a long, refreshing finish."", ""mouthfeel_liquor"": ""Thick, brothy, and very smooth. The abundant white down on the buds creates a rich, soupy texture. The liquor is a bright yellow-green.""}","The processing is incredibly laborious. The tiny, tender buds are pan-fired in a wok and simultaneously hand-rolled into their characteristic tight spiral shape. This requires immense skill to do without crushing the delicate buds.","Zero oxidation. The tea is pan-fired immediately after being picked to preserve its fresh, vibrant character.","No roasting. The pan-firing process serves to both kill-green and dry the tea.","Completely specialized. This heirloom cultivar is inextricably linked to the unique hand-processing and terroir of Dongting Bi Luo Chun."
Huangshan Qunti Zhong,黄山群体种,"'Huangshan Population'. The local, genetically diverse heirloom population of tea plants from the famous Huangshan (Yellow Mountain) scenic area. This is the authentic material for creating Huangshan Maofeng, a beloved green tea known for its light, sweet, and refreshingly floral character, often with notes of magnolia.",China,"Huangshan, Anhui",0,"The native, seed-propagated heirloom population of the Huangshan scenic area.","Huangshan Maofeng","Variable growth habits due to genetic diversity; typically medium-sized bushes (Camellia sinensis var. sinensis).","Grows at high altitudes (700-800m) in the cloudy, misty, and cool environment of Huangshan. The rich soil and constant cloud cover create a very sweet and tender leaf.","{""china"": [""Anhui Province (Huangshan - particularly the areas around Taohua Feng (Peach Blossom Peak))""]}","{""Green Tea"": {""Huangshan Maofeng"": ""Its sole expression. A gently processed green tea consisting of a bud and one or two leaves. It is lightly baked rather than pan-fired, preserving a fresh, floral character.""}}","{""aroma"": ""Fresh cut grass, elegant floral notes like Magnolia and Orchid"", ""flavor"": ""Naturally sweet, light, and refreshing with no bitterness and a clean, long-lasting floral aftertaste."", ""mouthfeel_liquor"": ""Smooth, light, and mellow with a very clean texture. The liquor is a clear, pale apricot color.""}","The processing of Huangshan Maofeng is simpler than many famous teas. After a short withering, the leaves undergo a 'kill-green' and shaping process in a large pan, followed by a careful baking process to dry.","Zero oxidation. The 'kill-green' step is done quickly after harvest to lock in the fresh, vegetal and floral notes of the leaf.","The key step is a low-temperature bake ('hong bei'). Unlike the high heat of pan-firing, this gentle baking process slowly removes moisture while preserving the tea's delicate floral aroma and natural sweetness.","Completely specialized. This heirloom population is used exclusively to make the sweet, floral green tea known as Huangshan Maofeng."
Shi Da Cha,柿大茶,"'Persimmon Big Tea'. A truly unique and visually stunning cultivar from Taiping county in Anhui. It is defined by its massive leaves, which can be much larger than a person's hand. It is used exclusively to make Tai Ping Hou Kui, a green tea where the leaves are painstakingly pressed by hand, resulting in a long, flat, and beautiful finished product.",China,"Taiping, Anhui",1901,"A local, large-leaf mutation of C. sinensis var. sinensis.","Persimmon Big Tea, Tai Ping Hou Kui cultivar","Large, robust bush with very strong branches to support its massive leaves (Camellia sinensis var. sinensis).","Grows in the misty, mountainous region of the former Taiping prefecture (now Huangshan district), where the specific microclimate allows these large leaves to grow tenderly.","{""china"": [""Anhui Province (Huangshan City - former Taiping County area)""]}","{""Green Tea"": {""Tai Ping Hou Kui ('Peaceful Monkey Leader')"": ""Its only expression. A green tea where individual, massive leaves are pan-fired and then pressed flat between layers of cloth, creating a visually unique tea with a powerful orchid aroma.""}}","{""aroma"": ""Powerful and lingering Orchid fragrance, fresh, clean, and slightly vegetal"", ""flavor"": ""Mellow, sweet, and smooth with a deep, lasting floral sweetness and no bitterness."", ""mouthfeel_liquor"": ""Thick, soupy, and incredibly smooth with a very refreshing character. The liquor is a clear, bright green-yellow.""}","The processing is highly specialized and laborious. After kill-green, each individual leaf is placed between layers of cloth and hand-pressed with rollers to create its flat, uniform shape. This requires immense patience and skill.","Zero oxidation. The massive leaves are quickly pan-fired to halt enzymatic activity and preserve their vibrant green color and fresh aroma.","A gentle baking process follows the hand-pressing to slowly and evenly dry the large, thick leaves without scorching them or creating a roasted flavor.","Completely specialized. This unique, giant-leaf cultivar exists only to be made into the singular and iconic Tai Ping Hou Kui."
Liu An Gua Pian,六安瓜片,"'Lu'an Melon Slice'. A unique and famous Chinese green tea from Anhui, notable for what it lacks: it is made entirely from mature leaves, with all buds and stems meticulously removed. The finished tea, resembling melon seeds, is baked, not pan-fired, giving it a complex, toasty, and vegetal flavor.",China,"Lu'an, Anhui",1644,"Local Qishan heirloom population ('Qishan Qunti Zhong').","Melon Slice Tea","Hardy, medium-sized bushes from the local heirloom population (Camellia sinensis var. sinensis).","Grows in the hilly, temperate climate of Lu'an City in western Anhui, particularly in the Qishan mountain range.","{""china"": [""Anhui Province (Lu'an City, specifically Jinzhai and Yu'an districts)""]}","{""Green Tea (Baked)"": {""Liu An Gua Pian"": ""Its sole expression. A baked green tea made from single, de-stemmed mature leaves, which are shaped and repeatedly baked over charcoal fires.""}}","{""aroma"": ""Toasty, sweet corn, vegetal, hint of floral high notes"", ""flavor"": ""Complex, rich, and mellow with a balance of toasted and fresh vegetal flavors, and a very smooth, sweet finish."", ""mouthfeel_liquor"": ""Thick, rich, and smooth with a very satisfying, full texture. The liquor is a clear, bright greenish-yellow.""}","The processing is unique. After picking, the leaves are de-stemmed and de-veined by hand. They are then wok-fired to kill-green and shape, followed by a multi-stage, slow baking process over charcoal fires, which is crucial for developing its flavor.","Zero oxidation. The leaves undergo a rapid 'kill-green' in a wok to halt all enzymatic processes.","Roasting is the defining characteristic. The tea is baked multiple times over charcoal fires of varying intensity. This 'lao huo' (old fire) process builds a deep, complex, and toasty flavor without any smokiness.","Extremely specialized. This cultivar and its unique processing method (no buds/stems, baked) are inseparable from the identity of Liu An Gua Pian."
Mengding Ganlu,蒙顶甘露,"'Mengding Sweet Dew'. An ancient and celebrated green tea from Mengding Mountain in Sichuan, often cited as one of the oldest forms of tribute tea in China. It is known for its delicate, tightly rolled leaves covered in fine down, and a fresh, complex flavor profile that balances umami, sweetness, and a lasting floral aroma.",China,"Mengding Mountain, Sichuan",0,"Traditionally a local heirloom population; modern production often uses clones like 'Mengshan #9'.","Sweet Dew","Small-leaf, downy-bud cultivar, adapted to high-altitude growth (Camellia sinensis var. sinensis).","Grows on the perennially misty and rainy slopes of Mengding Mountain, where the constant cloud cover and rich soil create very tender and flavorful leaves.","{""china"": [""Sichuan Province (Ya'an - Mengding Mountain)""]}","{""Green Tea"": {""Mengding Ganlu"": ""A very fine green tea made from tender buds and leaves. The processing involves a three-stage rolling and drying process to create its twisted, downy appearance and lock in its aroma.""}}","{""aroma"": ""Toasted nuts, sweet florals, fresh vegetal notes"", ""flavor"": ""Lasting sweetness, distinct umami, and a clean, refreshing aftertaste."", ""mouthfeel_liquor"": ""Smooth, mellow, and thick, with a rich texture from the abundant leaf hairs. The liquor is a clear, bright yellow-green.""}","Processing involves a sequence of pan-firing to kill-green, followed by multiple stages of intricate hand-rolling and drying. This complex rolling technique is what creates the tightly twisted shape and develops the tea's deep flavor.","Zero oxidation. The leaves are quickly pan-fired after harvest to halt all oxidation.","No roasting. The tea is dried using the heat from the pan-firing and subsequent drying steps. The focus is on shape and preserving fresh flavor, not on a baked or roasted character.","Highly specialized. The cultivar is intrinsically linked to the Mengding Ganlu style of processed green tea."
Da Ye Zhong,大叶种,"'Big Leaf Variety'. This is not a single clonal cultivar but rather the botanical varietal Camellia sinensis var. assamica, which is native to Yunnan province. It is the genetic mother of all Yunnan teas, characterized by its large leaves and ability to grow into a tall tree. It forms the basis for the rich, complex flavors of Pu'er and the malty sweetness of Dian Hong black tea.",China,"Yunnan",0,"The native, wild-growing botanical varietal of the region.","Yunnan Big Leaf","A true tree (arbor) that can grow many meters tall, with a strong trunk and large canopy (Camellia sinensis var. assamica).","Grows in the subtropical, mountainous, and high-rainfall environment of Yunnan province. Ancient tea forests with trees hundreds of years old are highly prized.","{""china"": [""Yunnan Province (all tea regions like Xishuangbanna, Lincang, Pu'er)""]}","{""Pu'er Tea"": {""Sheng (Raw) Pu'er"": ""Sun-dried green tea pressed into cakes for aging, yielding floral, fruity, and bitter notes when young, and deep, earthy, camphor notes when aged."", ""Shu (Ripe) Pu'er"": ""Artificially fermented green tea that mimics aging, resulting in a smooth, dark, earthy, and chocolatey profile.""}, ""Black Tea"": {""Dian Hong"": ""A fully oxidized black tea known for its malty, sweet potato, and caramel flavors.""}}","{""aroma"": ""Highly variable: floral, fruity, camphor (Pu'er); malty, chocolate, sweet potato (Black)"", ""flavor"": ""Robust, complex, often with a pleasant bitterness that transforms to sweetness (huigan)."", ""mouthfeel_liquor"": ""Thick, full-bodied, and powerful with a long and dynamic finish. Liquor ranges from bright yellow to deep red to black.""}","Its versatility is its key trait. For Pu'er, the leaves are pan-fired, then sun-dried, preserving enzymes for aging. For Dian Hong, the leaves are withered, rolled, and fully oxidized before being oven-dried.","Oxidation varies. Sheng Pu'er has minimal initial oxidation. Shu Pu'er is post-fermented. Dian Hong is 100% oxidized.","No roasting is used for Pu'er; sun-drying is essential. For Dian Hong, a final oven-drying bake is used.","Extremely versatile. This single botanical varietal is the foundation for the entire universe of Pu'er teas (both raw and ripe) and the famous Dian Hong black teas."
Mengku Da Ye Zhong,勐库大叶种,"'Mengku Big Leaf Variety'. A highly sought-after sub-variety of the Da Ye (Assamica) varietal, native to the Mengku region of Lincang, Yunnan. It is celebrated for its 'dual characteristics' of strong bitterness and powerful aroma, combined with a thick texture and an exceptionally fast and intense returning sweetness ('huigan').",China,"Lincang (Mengku), Yunnan",0,"A distinct local heirloom population of C. sinensis var. assamica.","Mengku Broad Leaf","Large, robust arbor tree with large, leathery leaves that have prominent veins (Camellia sinensis var. assamica).","Grows in the high-altitude, mountainous region of Mengku, particularly around Bingdao (Ice Island), which is famous for this cultivar.","{""china"": [""Yunnan Province (Lincang Prefecture, specifically Mengku Township)""]}","{""Sheng (Raw) Pu'er"": {""Mengku Pu'er"": ""Its exclusive expression. A powerful raw Pu'er prized for its strong character, excellent aging potential, and perfect balance of bitterness and sweetness.""}}","{""aroma"": ""Powerful and penetrating floral and honey fragrance"", ""flavor"": ""Initially strong and bitter, but it rapidly transforms into an intense, profound, and long-lasting sweetness (huigan)."", ""mouthfeel_liquor"": ""Thick, viscous, and powerful, with a strong energetic sensation ('cha qi'). The liquor is a bright, clear golden-yellow.""}","Processing is identical to other Sheng Pu'er teas: pan-firing to kill-green, rolling to shape, and crucially, sun-drying to preserve the enzymes necessary for long-term aging and fermentation.","Minimal oxidation (<5%) from processing, just like other Sheng Pu'er. The true transformation happens over years of aging.","No roasting. Sun-drying is the defining and required final step before the tea is steamed and compressed into cakes.","Extremely specialized. The Mengku Da Ye cultivar is one of the most prized materials for high-end, single-origin Sheng Pu'er."
Yiwu Da Ye Zhong,易武大叶种,"'Yiwu Big Leaf Variety'. A famous sub-variety of the Da Ye (Assamica) varietal from the historic Yiwu mountains, one of the original Six Great Tea Mountains. In contrast to the power of Mengku, Yiwu teas are prized for their exceptional softness, elegance, and 'rou' (柔) character. They are known for having very low bitterness, a thick, soupy texture, and a prominent floral fragrance.",China,"Xishuangbanna (Yiwu), Yunnan",0,"A distinct local heirloom population of C. sinensis var. assamica.","Yiwu Broad Leaf","Large arbor trees, often with a more sprawling growth habit and very large leaves (Camellia sinensis var. assamica).","Grows in the protected, high-humidity, and biodiverse forests of the Yiwu mountain range, which contributes to its elegant and gentle nature.","{""china"": [""Yunnan Province (Xishuangbanna Prefecture, specifically Yiwu Township)""]}","{""Sheng (Raw) Pu'er"": {""Yiwu Pu'er"": ""Its only expression. An elegant, soft, and highly aromatic raw Pu'er celebrated for its smooth texture and incredible aging potential into a very refined tea.""}}","{""aroma"": ""Elegant, high-pitched floral notes (wild orchid), honey, rock sugar"", ""flavor"": ""Very soft, gentle, and sweet with minimal bitterness and a long, cooling, sweet aftertaste."", ""mouthfeel_liquor"": ""Exceptionally thick, smooth, and soupy ('tang gan'). Coats the mouth and throat. The liquor is a clear, bright golden-yellow.""}","Processing follows the traditional Sheng Pu'er method (pan-fire, roll, sun-dry). The skill lies in preserving the tea's inherent softness and aromatic delicacy throughout the process.","Minimal oxidation (<5%) from processing. The focus is on preserving the gentle, floral nature of the fresh leaves for aging.","No roasting. Sun-drying is the essential final step that defines Pu'er and allows the tea to age gracefully over decades.","Extremely specialized. Yiwu Da Ye is a prized 'terroir-specific' cultivar used exclusively for making soft, elegant, and highly sought-after Sheng Pu'er."
Zi Juan,紫娟,"'Purple Juan'. A unique and modern Yunnan cultivar developed from a natural purple-leaf mutation of the Da Ye (Assamica) varietal. Its most striking feature is its deep purple leaves, buds, and stems, a result of a very high concentration of anthocyanins. The finished tea has a distinct flavor profile, often with berry-like and slightly medicinal notes.",China,"Yunnan",1990,"A clonal selection from a natural purple-leaf mutation of C. sinensis var. assamica.","Purple Beauty","Upright, medium-sized bush with a striking purple coloration throughout the plant (Camellia sinensis var. assamica).","Grown in the high-altitude tea regions of Yunnan, where strong sunlight is thought to enhance its purple pigmentation.","{""china"": [""Yunnan Province (various regions, often as a specialty crop)""]}","{""Green Tea"": {""Purple Needle"": ""A sun-dried green tea (similar to Sheng Pu'er processing) that highlights its unique briskness and color.""}, ""Black Tea"": {""Purple Black"": ""A fully oxidized tea that has a unique reddish-purple liquor and a fruity, slightly astringent flavor.""}, ""Pu'er Tea"": {""Purple Pu'er"": ""Can be pressed into cakes like traditional Sheng Pu'er, valued for its unique character and appearance.""}}","{""aroma"": ""Berry-like, herbal, slightly floral"", ""flavor"": ""Noticeably astringent and sometimes bitter, with fruity notes reminiscent of purple berries and a slightly medicinal finish."", ""mouthfeel_liquor"": ""Brisk and astringent with a unique mouthfeel. The liquor has a fascinating color, often greenish with purple or reddish hues.""}","Processing Zi Juan requires care to manage its higher-than-average astringency and bitterness. The processing method (green, black, or Pu'er) dramatically changes its final flavor profile.","Oxidation levels can vary from none (green/Pu'er) to full (black tea). Full oxidation can help to mellow some of its natural astringency.","No roasting is typically applied. Like Pu'er, it is often sun-dried for green tea styles, or oven-dried for black tea styles.","Moderately versatile. It can be crafted into several different types of tea, but its unique and assertive flavor profile means it will always be a niche, specialty product rather than a mainstream tea."
Qi Men Zhong,祁门种,"'Qimen Species'. This is not a single clone, but the local heirloom population of small-leaf tea bushes from Qimen county, Anhui. It is the one and only material used for making Keemun black tea. When processed into black tea, it produces a famously complex aroma with notes of wine, rose, pine, and dried fruit, earning it the title 'the Burgundy of tea'.",China,"Qimen (Anhui)",1875,"The native, local heirloom population of Qimen county.","Keemun","Small-leaf, genetically diverse bushes adapted to the local terroir (Camellia sinensis var. sinensis).","Grows in the mild, humid, and often foggy climate of Qimen county in southern Anhui, where the soil and environment are perfect for developing its complex aromatics.","{""china"": [""Anhui Province (Qimen county and surrounding areas)""]}","{""Black Tea"": {""Keemun (Qimen Hongcha)"": ""Its only expression. A world-famous black tea known for its incredible aromatic complexity. Different grades exist, like Hao Ya (downy buds) and Mao Feng (pointed leaves).""}}","{""aroma"": ""Complex notes of red wine, rose, pine, dried plum, and a hint of orchid or smoke"", ""flavor"": ""Smooth, mellow, and complex with a slight smokiness and a sweet, lingering floral finish."", ""mouthfeel_liquor"": ""Medium-bodied, very smooth, and silky with low astringency. The liquor is a brilliant, clear red.""}","The key to producing Keemun's unique aroma is a slow, carefully controlled withering and oxidation process. This allows the full range of aromatic compounds within the Qi Men Zhong leaves to develop.","Undergoes full oxidation (100%). The oxidation process is meticulous and often takes longer than for other black teas, which is crucial for building its signature layered aroma.","A final, gentle drying bake is applied to stabilize the tea and halt oxidation. It is not roasted in a way that would impart a toasty flavor.","Completely specialized. The Qi Men Zhong population is only used to produce Keemun black tea. Its global fame is entirely dependent on this one style."
