name_english,name_native,description,origin_country,origin_region,development_year,parentage,also_known_as,plant_type,optimal_environment,geographic_distribution,tea_expressions,sensory_footprint,processing_suitability_details,oxidation_details,roasting_details,style_versatility
Ban Tian Yao,半天腰,"'Half-way to the Sky'. A classic Wuyi Rock Oolong named for the legend of its original bush growing halfway up a cliff. It is celebrated for its perfect balance and elegance, often described as the ideal middle-ground Yancha—lacking the sharp spice of Rou Gui or the deep woodiness of Shui Xian, it instead offers a clear, sweet, and floral profile.",China,"Wuyi Mountains (Fujian)",1644,"Selected from the native Wuyi heirloom population.","Mid-level, Half-way to Heaven","Upright, medium-sized arbor type, well-adapted to rocky growth (Camellia sinensis var. sinensis).","Best expresses itself in the core 'Zhengyan' region of the Wuyi Mountains, where the mineral-rich terroir contributes to its balanced flavor.","{""china"": [""Fujian Province (Wuyi Mountains)""]}","{""Wuyi Rock Oolong (Yancha)"": {""Ban Tian Yao Yancha"": ""Its sole expression is a traditionally crafted rock oolong, where processing aims to highlight its inherent balance and elegant floral character.""}}","{""aroma"": ""Delicate Orchid, Stone Fruit, Toasted Grain, faint sweetness"", ""flavor"": ""Clean, sweet, with a very clear and pure mineral note. Well-balanced without any single dominant flavor."", ""mouthfeel_liquor"": ""Smooth, medium-bodied, and elegant with a pleasant, lingering sweet finish. The liquor is a clear, bright amber.""}","The processing of Ban Tian Yao is a balancing act itself. The goal is not to impart extreme flavors but to reveal the cultivar's natural elegance. Its leaves are robust enough for traditional Yancha processing but shine when not pushed to extremes.","Undergoes a standard medium-to-heavy oxidation for Yancha (40-60%) to develop a solid foundation of flavor that enhances its floral and fruity notes.","Typically receives a medium charcoal roast. This is enough to create the desired 'rock rhyme' and smoothness but light enough to preserve its delicate floral top notes, which could be lost with a heavier bake.","Highly specialized. Ban Tian Yao is a pure expression of the traditional Wuyi Rock Oolong style and is not used for other types of tea."
Huang Guan Yin,黄观音,"'Yellow Goddess'. A successful modern hybrid cultivar, created by crossing Huang Jin Gui (for aroma) and Tie Guan Yin (for substance). It is an intensely aromatic tea, often presenting a bouquet of powerful floral notes like gardenia and magnolia, and has become a popular 'new style' of Wuyi Rock Oolong.",China,"Wuyi Mountains (Fujian)",1990,"Huang Dan (Huang Jin Gui) x Tie Guan Yin","Yellow Goddess of Mercy","Vigorous, productive, early-sprouting hybrid bush (Camellia sinensis var. sinensis).","Bred to be vigorous and adaptable, it is grown in both Anxi and Wuyi. In Wuyi, the rocky terroir adds a mineral foundation to its powerful aroma.","{""china"": [""Fujian Province (Wuyi Mountains, Anxi)""]}","{""Wuyi Rock Oolong (New Style)"": {""Huang Guan Yin Yancha"": ""A very lightly roasted Yancha where the processing is designed to maximize its explosive floral aroma.""}, ""Anxi Oolong (Green Style)"": {""Fragrant Anxi Oolong"": ""When processed in Anxi, it is made into a very green, unroasted oolong similar to modern Tie Guan Yin, but even more aromatic.""}}","{""aroma"": ""Intense Gardenia, Ginger Lily, Magnolia, very perfume-like"", ""flavor"": ""Sweet, overwhelmingly floral, with a light body and a clean finish. When from Wuyi, it has a subtle mineral undertone."", ""mouthfeel_liquor"": ""Smooth and silky, generally lighter-bodied than traditional Yancha. The liquor is a very bright, pale golden-yellow.""}","This cultivar was designed for aroma, so the entire processing chain is geared towards preserving its highly volatile floral compounds. Gentle handling is key.","Oxidation is kept on the lighter side for an oolong (20-40%) to maintain the freshness and vibrancy of its floral character.","Roasting, especially for the Yancha style, must be very light and at a low temperature. It is more of a finishing bake to stabilize the tea. A heavy roast would completely destroy the delicate aroma it was bred to produce.","Moderately versatile. It can be crafted into either a Wuyi or Anxi style, but it will always be a light, intensely fragrant oolong. It lacks the structure for heavy roasting or black tea production."
Huang Jin Gui,黄金桂,"'Golden Osmanthus'. A classic Anxi oolong celebrated for its singular, intense, and unmistakable aroma of sweet osmanthus flowers. It is an early-budding and high-yielding cultivar, prized for its ability to produce a light, crisp, and almost perfume-like tea that serves as a benchmark for pure floral aroma.",China,"Anxi (Fujian)",1801,"Selected from the native Anxi heirloom population.","Huang Dan, Golden Osmanthus","Early-budding, productive, spreading bush (Camellia sinensis var. sinensis).","Thrives in the Hukou area of Anxi county, where the specific terroir is said to produce the most fragrant expression of the cultivar.","{""china"": [""Fujian Province (Anxi, particularly Hukou township)"", ""Taiwan""]}","{""Anxi Oolong (Light & Aromatic)"": {""Huang Jin Gui Oolong"": ""This is its one and only famous expression. It is processed as a very green, unroasted oolong to capture its fleeting, powerful osmanthus fragrance at its peak.""}}","{""aroma"": ""Overwhelming sweet Osmanthus, perfume-like, fresh flowers"", ""flavor"": ""Light, crisp, sweet, and intensely floral with a clean, brisk finish."", ""mouthfeel_liquor"": ""Relatively thin-bodied and delicate with no astringency. The liquor is a very pale, clear golden-yellow.""}","The processing of Huang Jin Gui is a race against time to capture its volatile aromatics. The leaves are delicate and require gentle handling and a short processing window.","Oxidation is very light (10-20%), just enough to eliminate the green, grassy notes and allow the powerful osmanthus fragrance to fully emerge.","Completely unroasted, aside from a final low-temperature bake for drying and stabilization. Any significant roasting would erase its signature character.","Not versatile at all. Huang Jin Gui is a master of a single craft: producing an intensely aromatic, light-bodied green oolong. Its entire value is based on this specialization."
Fuding Da Bai,福鼎大白,"'Fuding Big White'. The premier cultivar of Chinese white tea, Fuding Da Bai is the genetic backbone of the world's most famous white teas, including Silver Needle. It is celebrated for its large, fleshy buds that are covered in a thick layer of silvery-white down, which produce a tea that is exceptionally delicate, sweet, and clean.",China,"Fuding (Fujian)",1885,"Selected from the native Fuding heirloom population for its large buds.","Fuding Big White, Hua Cha #1 (technical name)","Vigorous, large, early-sprouting bush with good cold resistance (Camellia sinensis var. sinensis).","Prefers the mild, humid, and foggy coastal climate of Fuding, where the sea breezes and misty conditions are ideal for the slow withering process of white tea.","{""china"": [""Fujian Province (Fuding, and surrounding areas like Xiapu, Fu'an)"", ""Other provinces have tried to plant it, but Fuding is its authentic home.""]}","{""White Tea"": {""Silver Needle (Bai Hao Yin Zhen)"": ""The highest grade, made exclusively from the unopened buds of this cultivar, yielding a very delicate and sweet tea."", ""White Peony (Bai Mu Dan)"": ""Made from the bud and top two leaves, resulting in a fuller-bodied tea with more complexity.""}, ""Black Tea"": {""Fuding Black Tea"": ""Can be processed into a sweet and mellow black tea, though this is less common.""}}","{""aroma"": ""Delicate notes of hay, fresh melon, apricot, and a subtle floral sweetness"", ""flavor"": ""Clean, mellow, and naturally sweet with very low bitterness or astringency."", ""mouthfeel_liquor"": ""Smooth, light, and refreshing with a clean, soft texture. The liquor is a very pale, silvery-yellow.""}","The entire philosophy of processing this cultivar is minimalism. The goal is to preserve the natural state of the leaf with as little human intervention as possible. The thick, downy buds are key to its character.","Oxidation is natural and very minimal (<5%), occurring slowly during the extended withering phase. There is no 'kill-green' step, allowing for a slight enzymatic change that develops its sweetness.","No roasting is involved. The tea is simply withered (in the sun or indoors depending on weather) and then gently dried at a low temperature to remove the final moisture.","Primarily specialized for white tea, where it is the undisputed champion. While it can be made into a simple black tea, its structure and flavor are best expressed through the gentle processing of white tea."
Zhenghe Da Bai,政和大白,"'Zhenghe Big White'. A close cousin to Fuding Da Bai, this cultivar is the foundation of white tea from the inland Zhenghe region. It is known for producing white teas that are fuller-bodied, darker in color, and deeper in flavor compared to those from Fuding, often with notes of dried fruit and wood. It is also a key cultivar for some Fujian black teas.",China,"Zhenghe (Fujian)",1890,"Selected from the native Zhenghe heirloom population.","Hua Cha #2 (technical name)","Vigorous, semi-arbor type with a later budding time than Fuding Da Bai (Camellia sinensis var. sinensis).","Thrives in the cooler, high-altitude, and foggy inland environment of Zhenghe County. The longer growing cycle contributes to its deeper flavor accumulation.","{""china"": [""Fujian Province (Zhenghe County and surrounding inland areas)""]}","{""White Tea"": {""Zhenghe Silver Needle & White Peony"": ""These teas are known for being deeper, often with notes of dark fruit, hay, and a fuller, rounder mouthfeel than their Fuding counterparts.""}, ""Black Tea"": {""Panyong Congou"": ""This cultivar is traditionally used to make this classic Fujian black tea, known for its smooth, sweet profile.""}}","{""aroma"": ""Dried date, autumn leaves, subtle woodiness, hay"", ""flavor"": ""Deeper natural sweetness, hints of dark fruit (fig, date), and a slightly earthy undertone."", ""mouthfeel_liquor"": ""Fuller-bodied and rounder than Fuding white teas, with a smooth, lasting finish. The liquor is a deeper golden-amber color.""}","The processing for Zhenghe white tea is similar to Fuding (long withering, gentle drying), but the later-budding, slower-growing nature of the cultivar results in a different final product. The leaves accumulate different compounds, leading to a deeper flavor.","Undergoes a slightly higher degree of natural oxidation during its longer withering process compared to Fuding teas, which contributes to its darker color and deeper flavor profile.","Like other white teas, it is not roasted. The final step is a thorough, low-temperature drying.","Quite versatile. It is a star performer for a distinct style of white tea and is also one of the classic, foundational cultivars for traditional Fujian black tea (Congou/Gongfu style)."
Wuyi Cai Cha,武夷菜茶,"'Wuyi Vegetable Tea'. This is not a single clonal cultivar, but the original, genetically diverse heirloom 'population' of small-leaf tea bushes native to the Wuyi region. It is the authentic, historical cultivar used to create the world's first black tea, Lapsang Souchong. Unsmoked, it produces a black tea of incredible elegance and sweetness.",China,"Wuyi Mountains (Fujian)",0,"The native, seed-propagated heirloom population of the Wuyi Mountains.","Vegetable Tea, Lapsang Souchong cultivar, Tongmu Xiaozhong","Variable, typically small, hardy bushes that have adapted over centuries (Camellia sinensis var. sinensis).","Grows wild and cultivated in the high-altitude, protected ecosystem of the Tongmu Nature Preserve within the Wuyi Mountains, the birthplace of black tea.","{""china"": [""Fujian Province (Wuyi Mountains, specifically Tongmu Village)""]}","{""Black Tea"": {""Unsmoked Lapsang Souchong (Zheng Shan Xiao Zhong)"": ""Its highest expression. An elegant, smooth black tea with natural notes of longan fruit and sweet potato."", ""Smoked Lapsang Souchong"": ""The famous export version, which is dried over pine wood fires, imparting a strong, smoky, campfire aroma.""}}","{""aroma"": ""Longan fruit, sweet potato, honey (unsmoked); or Pine smoke, campfire, leather (smoked)"", ""flavor"": ""Naturally sweet, clean, and elegant with a smooth, fruity character (unsmoked)."", ""mouthfeel_liquor"": ""Silky, smooth, and medium-bodied with a very clean and sweet aftertaste. The liquor is a bright, clear reddish-orange.""}","For unsmoked Lapsang, the processing is a classic black tea method (withering, rolling, full oxidation, drying). For the smoked version, the key final step is drying the tea on racks above smoldering, resinous pine wood fires.","Undergoes full oxidation (100%) to be classified as a black tea. The small leaves oxidize relatively quickly, creating a refined rather than a robustly malty flavor.","The unsmoked version is dried with clean, hot air. The smoked version's 'roast' is a low-temperature smoke-drying process that infuses the leaves with a powerful pine aroma.","Highly specialized for black tea. Its entire history and identity are tied to being the original Lapsang Souchong cultivar, whether smoked or unsmoked."
Mi Lan Xiang,米兰香,"'Honey Orchid Fragrance'. The most popular, accessible, and representative of all Phoenix Dan Cong oolongs. It is beloved for its intoxicating and forward aroma that beautifully mimics the scent of honey, orchids, and ripe stone fruit, all built upon the classic mineral-rich foundation of its mountainous terroir.",China,"Phoenix Mountains (Guangdong)",1644,"A specific, highly successful fragrance-type selected from the local Shui Xian population.","Honey Orchid Dan Cong","Tall, upright arbor type, can grow into a small tree (Camellia sinensis var. sinensis).","Thrives in the high-altitude (600-1,200m), misty, and rocky environment of the Phoenix (Feng Huang) Mountains.","{""china"": [""Guangdong Province (Chaozhou - Phoenix Mountains)""]}","{""Dan Cong Oolong"": {""Mi Lan Xiang Dan Cong"": ""This is its primary and most famous expression. A medium-oxidized and lightly roasted oolong designed to be explosively aromatic.""}}","{""aroma"": ""Intense Honey, Orchid, Lychee, Sweet Potato"", ""flavor"": ""Sweet, fruity, and floral with a distinct honeyed character and a long, vibrant finish."", ""mouthfeel_liquor"": ""Full-bodied, creamy, and smooth with a characteristic sweet and fragrant aftertaste. The liquor is a bright golden-orange.""}","The key to processing Mi Lan Xiang is the carefully controlled withering and bruising ('yao qing') stage. This is where the leaf's cell walls are broken down just enough to develop the signature honey-orchid aroma without introducing bitterness.","Undergoes a medium level of oxidation (25-40%), which is the sweet spot for developing its complex fruity and floral notes while retaining a fresh vibrancy.","Receives a light to medium charcoal roasting. This bake helps to stabilize the tea, round out the flavors, and fix the beautiful aroma, making it more persistent over multiple infusions.","Specialized for the Dan Cong oolong style. While theoretically it could be processed differently, its entire value and identity lie in its famous 'honey orchid' aromatic profile."
Ya Shi Xiang,鸭屎香,"'Duck Shit Fragrance'. A Phoenix Dan Cong oolong with a famously off-putting name that conceals a sublimely beautiful tea. It is celebrated for its uniquely creamy mouthfeel and an intense, intoxicating floral aroma of gardenia and honeysuckle, which is completely at odds with its rustic name.",China,"Phoenix Mountains (Guangdong)",1801,"Selected from the local Phoenix Mountain heirloom population.","Duck Shit Dan Cong, Yin Hua Xiang (Honeysuckle Fragrance - a modern marketing name)","Upright, vigorous arbor with dark, slightly larger leaves (Camellia sinensis var. sinensis).","Grows in the high-altitude terroir of the Phoenix Mountains. Its unique creamy character is said to come from the specific soil of its home village.","{""china"": [""Guangdong Province (Chaozhou - Phoenix Mountains)""]}","{""Dan Cong Oolong"": {""Ya Shi Xiang Dan Cong"": ""Its only expression is a medium-oxidized and lightly roasted oolong, with processing focused on developing its signature creamy texture alongside its intense floral aroma.""}}","{""aroma"": ""Intense Gardenia, Honeysuckle, Jasmine, Cream, Almond Milk"", ""flavor"": ""Richly floral, sweet, with a distinct creamy or milky undertone that softens the entire profile."", ""mouthfeel_liquor"": ""Uniquely thick, creamy, and velvety smooth. Coats the mouth with a long, sweet, floral aftertaste. The liquor is a rich golden color.""}","The processing of Ya Shi Xiang is meticulous, with a strong focus on the withering and bruising stages to develop not only the high floral notes but also the compounds that contribute to its exceptionally creamy mouthfeel.","Oxidation is typically in the medium range (30-45%). This level is crucial for transforming the leaf's potential into the rich, complex, and layered floral-creamy profile it is famous for.","Usually receives a light charcoal roast. The goal is to dry the tea thoroughly and enhance its creamy texture and sweetness without diminishing the high-pitched gardenia and honeysuckle aromatics.","Completely specialized for the Dan Cong oolong style. Its legendary status is entirely built on its unique aroma and texture when processed in this traditional manner."
Xing Ren Xiang,杏仁香,"'Almond Fragrance'. A classic and distinct Phoenix Dan Cong oolong fragrance type. It is prized for its clear, focused, and unmistakable aroma and flavor of bitter almond, marzipan, and apricot kernel. It offers a unique, nutty departure from the more common floral or fruity Dan Cong profiles.",China,"Phoenix Mountains (Guangdong)",1644,"One of the ten traditional fragrance types, selected from the native Phoenix Mountain population.","Almond Dan Cong","Medium-sized arbor with ovate, dark green leaves (Camellia sinensis var. sinensis).","Grows in the high-altitude, mineral-rich soils of the Phoenix Mountains, which provide the base texture and sweetness for its nutty profile to emerge.","{""china"": [""Guangdong Province (Chaozhou - Phoenix Mountains)""]}","{""Dan Cong Oolong"": {""Xing Ren Xiang Dan Cong"": ""A medium-oxidized and roasted Dan Cong where the processing is carefully controlled to bring out the specific almond-like aromatic compounds.""}}","{""aroma"": ""Clear and focused Bitter Almond, Marzipan, Apricot Kernel"", ""flavor"": ""Nutty, sweet, with a distinct almond-like character and a clean, pleasant bitterness in the finish."", ""mouthfeel_liquor"": ""Smooth, medium-to-full-bodied with a unique, slightly astringent finish that enhances its nutty character. The liquor is a bright golden-amber.""}","The key to producing Xing Ren Xiang is identifying the specific trees that carry this genetic trait and then processing them in a way that highlights it. The bruising and oxidation must be managed to favor the development of these specific nutty aromatic compounds.","Undergoes a standard medium oxidation (30-45%) for Dan Cong, which provides the necessary foundation for its unique flavor profile to develop fully.","The roast for Xing Ren Xiang is often a bit heavier than for very floral Dan Congs. A medium roast helps to enhance the nutty, toasted character and integrate it with the tea's natural sweetness and minerality.","Highly specialized. This is a classic, specific fragrance profile within the Dan Cong oolong family and is not made in any other style."
Zhi Lan Xiang,芝兰香,"'Orchid Fragrance'. A benchmark Phoenix Dan Cong oolong, considered one of the most classic and elegant expressions of a floral Dan Cong. It is prized for its refined, high-pitched, and pure orchid fragrance, which is less fruity than Mi Lan Xiang and more focused and delicate, representing a connoisseur's floral profile.",China,"Phoenix Mountains (Guangdong)",1644,"One of the oldest and most classic fragrance types, selected from the native Phoenix Mountain population.","Orchid Dan Cong","Medium-sized arbor with long, yellowish-green leaves (Camellia sinensis var. sinensis).","Grows in the high-altitude terroir of Wudong Mountain within the Phoenix range, which is considered the best area for producing Dan Congs with elegance and complexity.","{""china"": [""Guangdong Province (Chaozhou - Phoenix Mountains, especially Wudong)""]}","{""Dan Cong Oolong"": {""Zhi Lan Xiang Dan Cong"": ""A masterfully processed Dan Cong oolong where every step is aimed at capturing the pure, elegant, and ethereal orchid aroma.""}}","{""aroma"": ""Refined, high-pitched Orchid, Iris, fresh greenery"", ""flavor"": ""Elegant, sweet, and intensely floral with a clean mineral backbone and a very long, fragrant aftertaste."", ""mouthfeel_liquor"": ""Silky, smooth, and vibrant with a characteristic cooling sensation in the throat. The liquor is a very clear, pale gold.""}","The processing of Zhi Lan Xiang requires an expert hand. The goal is to achieve a perfect, clean expression of its orchid aroma without any off-notes. This demands precise control over withering, bruising, and oxidation.","Oxidation is typically in the lighter-medium range (25-35%). This keeps the profile bright, fresh, and focused on the high-note floral aromatics.","Receives a very light, low-temperature finishing roast. The bake is just enough to ensure stability and remove any residual greenness, allowing the pure orchid fragrance to be the star.","Completely specialized for the high-end Dan Cong oolong style. Its value is derived entirely from its masterful expression of a pure and elegant floral profile."
